tahun,Garis Kemiskinan,Upah Minimum Provinsi,Pengeluaran,Upah_Rata_rata,Jenis_Pengeluaran_MAKANAN,Jenis_Pengeluaran_NONMAKANAN,Jenis_Pengeluaran_TOTAL,daerah_PERDESAAN,daerah_PERDESAANPERKOTAAN,daerah_PERKOTAAN,provinsi_Indonesia,provinsi_Indonesia Barat,provinsi_Indonesia Tengah,provinsi_Indonesia Timur
2016,424765.0,-0.29125172010888145,0.13664589469807628,-0.6918656998364807,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2016,427970.0,-0.29125172010888145,0.9831528038917718,-0.6918656998364807,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2016,445488.0,-0.29125172010888145,0.9831528038917718,-0.6918656998364807,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2017,331267.0,0.4039879436610689,-0.7484631640256144,-0.3721549001588283,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2017,346070.0,0.4039879436610689,-0.7484631640256144,-0.3721549001588283,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2017,330958.0,0.4039879436610689,-0.6497559001346812,-0.3721549001588283,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2017,346552.0,0.4039879436610689,-0.6497559001346812,-0.3721549001588283,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2017,330153.0,0.4039879436610689,-0.4197810287272003,-0.3721549001588283,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2017,347811.0,0.4039879436610689,-0.4197810287272003,-0.3721549001588283,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2017,94463.0,0.4039879436610689,-1.3324743286867566,-0.3721549001588283,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2017,96799.0,0.4039879436610689,-1.3324743286867566,-0.3721549001588283,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2017,104496.0,0.4039879436610689,-1.0876754650043186,-0.3721549001588283,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2017,107572.0,0.4039879436610689,-1.0876754650043186,-0.3721549001588283,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2017,127858.0,0.4039879436610689,-0.517323912852147,-0.3721549001588283,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2017,132061.0,0.4039879436610689,-0.517323912852147,-0.3721549001588283,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2017,425730.0,0.4039879436610689,0.06069619369102564,-0.3721549001588283,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2017,442869.0,0.4039879436610689,0.06069619369102564,-0.3721549001588283,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2017,435454.0,0.4039879436610689,0.40419950194292964,-0.3721549001588283,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2017,454124.0,0.4039879436610689,0.40419950194292964,-0.3721549001588283,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2017,458011.0,0.4039879436610689,1.2045287448240494,-0.3721549001588283,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2017,479872.0,0.4039879436610689,1.2045287448240494,-0.3721549001588283,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2018,353915.0,0.7684648316138607,-0.7132047297558132,-0.6412853956573598,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,362463.0,0.7684648316138607,-0.7132047297558132,-0.6412853956573598,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,353291.0,0.7684648316138607,-0.5975787177397338,-0.6412853956573598,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2018,361835.0,0.7684648316138607,-0.5975787177397338,-0.6412853956573598,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2018,351777.0,0.7684648316138607,-0.34450514555082956,-0.6412853956573598,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2018,360318.0,0.7684648316138607,-0.34450514555082956,-0.6412853956573598,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2018,100825.0,0.7684648316138607,-1.207736269688429,-0.6412853956573598,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,104778.0,0.7684648316138607,-1.207736269688429,-0.6412853956573598,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,111335.0,0.7684648316138607,-0.9401798431221083,-0.6412853956573598,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2018,114830.0,0.7684648316138607,-0.9401798431221083,-0.6412853956573598,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2018,134561.0,0.7684648316138607,-0.3545644845460839,-0.6412853956573598,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2018,136434.0,0.7684648316138607,-0.3545644845460839,-0.6412853956573598,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2018,454740.0,0.7684648316138607,0.2206926869591545,-0.6412853956573598,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,467242.0,0.7684648316138607,0.2206926869591545,-0.6412853956573598,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,464626.0,0.7684648316138607,0.6038723062200871,-0.6412853956573598,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2018,476665.0,0.7684648316138607,0.6038723062200871,-0.6412853956573598,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2018,486338.0,0.7684648316138607,1.4425640563064832,-0.6412853956573598,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2018,496752.0,0.7684648316138607,1.4425640563064832,-0.6412853956573598,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2019,372626.0,1.1635760019990846,-0.6734438391027661,-0.3029112751863418,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2019,387367.0,1.1635760019990846,-0.6734438391027661,-0.3029112751863418,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2019,370093.0,1.1635760019990846,-0.5647871897538025,-0.3029112751863418,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2019,384381.0,1.1635760019990846,-0.5647871897538025,-0.3029112751863418,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2019,364040.0,1.1635760019990846,-0.33889751515241007,-0.3029112751863418,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2019,377620.0,1.1635760019990846,-0.33889751515241007,-0.3029112751863418,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2019,106943.0,1.1635760019990846,-1.1973978178679139,-0.3029112751863418,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2019,110248.0,1.1635760019990846,-1.1973978178679139,-0.3029112751863418,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2019,116842.0,1.1635760019990846,-0.9176703805273464,-0.3029112751863418,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2019,120033.0,1.1635760019990846,-0.9176703805273464,-0.3029112751863418,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2019,137577.0,1.1635760019990846,-0.3361402187574104,-0.3029112751863418,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2019,140281.0,1.1635760019990846,-0.3361402187574104,-0.3029112751863418,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
